分类,标准问题,相似问法1,相似问法2,相似问法3,标准答案,状态
社保,外地社保如何转入本地,社保怎么转到本地,外地社保迁入怎么办,社保转移流程是什么,携带身份证和参保凭证到社保经办机构办理转移接续,启用
社保,社保断缴有什么影响,社保停交会怎样,社保断交后果,断缴社保有影响吗,可能影响医保报销和连续缴费年限认定,启用
社保,社保缴费记录怎么查询,怎么查社保缴费记录,社保明细在哪里查,查询社保缴费明细,可通过政务平台或社保窗口查询个人缴费记录,启用
公积金,公积金如何提取,公积金提取流程,住房公积金怎么取,取公积金需要什么材料,按当地公积金中心规定提交申请材料后办理提取,启用
公积金,公积金贷款额度怎么计算,公积金能贷多少,公积金贷款上限,公积金额度计算规则,通常与账户余额缴存年限和当地政策相关,启用
公积金,公积金能否异地转移,公积金异地转移怎么办,换城市公积金如何转,公积金迁移,可通过两地公积金中心办理转移接续手续,启用
计划生育,生育登记怎么办理,如何办理生育登记,生育服务登记流程,生育登记需要什么,可在政务平台或街道窗口提交资料办理登记,启用
计划生育,生育津贴怎么领取,生育津贴申领流程,如何申请生育津贴,生育津贴申请条件,符合条件后向社保经办机构提交申领材料,启用
计划生育,计划生育证明在哪里开,计生证明怎么开,开计划生育证明去哪里,计生证明办理,可向户籍地或居住地相关机构申请开具证明,启用
社保,医保异地就医怎么备案,异地就医备案怎么弄,医保外地就医备案,异地医保备案流程,可通过医保服务平台在线备案或线下窗口办理,启用
